SBD;HỌ VÀ TÊN;NGÀY SINH;TRƯỜNG;CƠ SỞ;TOÁN;VĂN;ANH;TỔNG ĐIỂM
100001;ĐẶNG THÀNH DŨNG;02/02/2002;THCS NQH;Q6;10;10;10;30
100002;LÊ NGUYỄN MINH KHÔI;16/01/2000;THCS SG;AL;9;9;9;27
100003;;;;;;;;0
100004;;;;;;;;0
100005;;;;;;;;0
100006;;;;;;;;0
100007;;;;;;;;0
100008;;;;;;;;0
100009;;;;;;;;0
100010;;;;;;;;0
100011;;;;;;;;0
100012;;;;;;;;0
100013;;;;;;;;0
100014;;;;;;;;0
100015;;;;;;;;0
100016;;;;;;;;0
100017;;;;;;;;0
100018;;;;;;;;0
100019;;;;;;;;0
100020;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
